,w,Tx,Data Queue,Prediction,Analysis,Model Type
0,20,1,9.402000000000001,253.53900000000002,0.073,Original
1,20,1,2.248,30.996,0.06999999999999999,Original
2,20,1,2.33,30.685,0.076,Original
3,20,1,2.3770000000000002,29.51,0.075,Original
4,20,1,2.378,28.495,0.07200000000000001,Original
5,20,1,2.362,28.647,0.07200000000000001,Original
6,20,1,2.509,29.105,0.07200000000000001,Original
7,20,1,2.347,28.95,0.08,Original
8,20,1,2.369,28.233999999999998,0.07100000000000001,Original
9,20,1,2.321,33.747,0.07100000000000001,Original
10,20,1,2.336,28.586,0.07100000000000001,Original
11,20,1,2.326,28.802,0.07200000000000001,Original
12,20,1,2.312,28.352999999999998,0.07100000000000001,Original
13,20,1,2.312,28.71,0.074,Original
14,20,1,2.382,28.448,0.06899999999999999,Original
15,20,1,2.301,29.855,0.067,Original
16,20,1,2.1870000000000003,28.371,0.06899999999999999,Original
17,20,1,2.4650000000000003,33.001000000000005,0.07100000000000001,Original
18,20,1,2.332,30.034000000000002,0.108,Original
19,20,1,2.6359999999999997,24.858999999999998,0.059,Original
20,20,1,1.9719999999999998,29.823,0.062,Original
21,20,1,1.9719999999999998,25.395,0.059,Original
22,20,1,2.471,28.101999999999997,0.056,Original
23,20,1,2.4520000000000004,27.528,0.182,Original
24,20,1,3.0260000000000002,24.834,0.061,Original
25,20,1,2.0509999999999997,33.0,0.07100000000000001,Original
26,20,1,2.317,27.634,0.068,Original
27,20,1,2.3440000000000003,28.586,0.068,Original
28,20,1,2.3040000000000003,28.384,0.06499999999999999,Original
29,20,1,2.063,25.187,0.062,Original
30,20,1,2.313,28.896,0.064,Original
31,20,1,2.1670000000000003,26.351,0.136,Original
32,20,1,3.068,29.177000000000003,0.063,Original
33,20,1,2.2790000000000004,31.877000000000002,0.066,Original
34,20,1,2.407,27.148,0.061,Original
35,20,1,2.608,28.316000000000003,0.060000000000000005,Original
36,20,1,1.9469999999999998,26.807000000000002,0.157,Original
37,20,1,2.903,25.194000000000003,0.059,Original
38,20,1,1.9919999999999998,29.641000000000002,0.062,Original
39,20,1,1.9880000000000002,25.23,0.057,Original
40,20,1,1.9469999999999998,29.778,0.089,Original
41,20,1,2.163,32.944,0.062,Original
42,20,1,1.9989999999999999,24.442,0.055,Original
43,20,1,1.9829999999999999,28.807,0.06499999999999999,Original
44,20,1,1.9620000000000002,25.256,0.06499999999999999,Original
45,20,1,2.48,30.034000000000002,0.057,Original
46,20,1,1.957,27.644,0.063,Original
47,20,1,2.8939999999999997,25.032,0.062,Original
48,20,1,2.008,29.815,0.062,Original
49,20,1,2.006,33.491,0.082,Original
50,20,1,2.758,26.529,0.062,Original
51,20,1,1.9819999999999998,29.509,0.09000000000000001,Original
52,20,1,1.9620000000000002,27.583,0.1,Original
53,20,1,3.233,30.503,0.108,Original
54,20,1,2.4659999999999997,30.084,0.074,Original
55,20,1,2.625,29.81,0.07200000000000001,Original
56,20,1,2.61,30.776,0.076,Original
57,20,1,2.535,36.232,0.074,Original
58,20,1,2.402,29.788,0.074,Original
59,20,1,2.351,29.622,0.076,Original
60,20,1,2.33,30.169999999999998,0.07100000000000001,Original
61,20,1,2.313,29.191000000000003,0.074,Original
62,20,1,2.383,30.197000000000003,0.06899999999999999,Original
63,20,1,2.34,29.759,0.077,Original
64,20,1,2.519,28.409,0.07100000000000001,Original
65,20,1,2.535,34.107,0.075,Original
66,20,1,2.3289999999999997,28.684,0.076,Original
67,20,1,2.524,30.305,0.074,Original
68,20,1,2.359,30.27,0.078,Original
69,20,1,2.3649999999999998,29.27,0.07200000000000001,Original
70,20,1,2.6220000000000003,29.447000000000003,0.07200000000000001,Original
71,20,1,2.3890000000000002,31.375,0.07200000000000001,Original
72,20,1,2.533,30.273999999999997,0.097,Original
73,20,1,2.581,34.611000000000004,0.073,Original
74,20,1,2.368,28.263,0.07200000000000001,Original
75,20,1,2.4810000000000003,27.479,0.07100000000000001,Original
76,20,1,2.35,27.933,0.063,Original
77,20,1,2.0500000000000003,29.21,0.06999999999999999,Original
78,20,1,2.367,28.584,0.077,Original
79,20,1,2.3770000000000002,29.343999999999998,0.074,Original
80,20,1,2.3489999999999998,28.34,0.07200000000000001,Original
81,20,1,2.532,33.855000000000004,0.073,Original
82,20,1,2.381,29.209,0.075,Original
83,20,1,2.362,28.892,0.06899999999999999,Original
84,20,1,2.536,28.426,0.073,Original
85,20,1,2.589,29.454,0.073,Original
86,20,1,2.351,28.497999999999998,0.067,Original
87,20,1,2.563,27.227999999999998,0.082,Original
88,20,1,2.7039999999999997,27.796999999999997,0.075,Original
89,20,1,2.318,34.234,0.106,Original
90,20,1,2.7520000000000002,29.926000000000002,0.073,Original
91,20,1,2.333,28.682,0.074,Original
92,20,1,2.541,28.573,0.075,Original
93,20,1,2.434,29.45,0.073,Original
94,20,1,2.333,29.565,0.06999999999999999,Original
95,20,1,2.336,28.945,0.077,Original
96,20,1,2.3890000000000002,28.964,0.074,Original
97,20,1,2.5709999999999997,34.367000000000004,0.073,Original
98,20,1,2.356,28.163,0.07100000000000001,Original
99,20,1,2.311,28.516,0.112,Original
100,20,1,2.229,28.703,0.073,Original
101,50,1,2.3449999999999998,93.11,0.067,Original
102,50,1,2.432,28.724,0.075,Original
103,50,1,2.386,29.18,0.083,Original
104,50,1,2.435,30.044,0.074,Original
105,50,1,2.3449999999999998,31.371000000000002,0.082,Original
106,50,1,2.356,30.122,0.076,Original
107,50,1,2.471,37.892,0.078,Original
108,50,1,2.382,30.738999999999997,0.075,Original
109,50,1,2.327,29.909000000000002,0.076,Original
110,50,1,2.372,30.282,0.082,Original
111,50,1,2.352,30.942,0.076,Original
112,50,1,2.341,31.955,0.076,Original
113,50,1,2.3579999999999997,29.802,0.076,Original
114,50,1,2.3800000000000003,29.187,0.074,Original
115,50,1,2.35,33.961999999999996,0.075,Original
116,50,1,2.509,29.231,0.076,Original
117,50,1,2.343,30.156,0.07200000000000001,Original
118,50,1,2.319,30.23,0.077,Original
119,50,1,2.3800000000000003,29.584,0.074,Original
120,50,1,2.3249999999999997,29.118000000000002,0.076,Original
121,50,1,2.356,29.505,0.077,Original
122,50,1,2.398,29.467,0.076,Original
123,50,1,2.494,35.687999999999995,0.077,Original
124,50,1,2.331,31.71,0.079,Original
125,50,1,2.799,31.736,0.088,Original
126,50,1,2.54,31.078000000000003,0.092,Original
127,50,1,2.367,31.433000000000003,0.076,Original
128,50,1,2.401,30.785,0.068,Original
129,50,1,2.247,30.285,0.073,Original
130,50,1,2.37,30.056,0.104,Original
131,50,1,2.444,36.332,0.073,Original
132,50,1,2.6679999999999997,30.457,0.076,Original
133,50,1,2.6380000000000003,29.717,0.158,Original
134,50,1,3.974,29.831,0.077,Original
135,50,1,2.536,32.696999999999996,0.156,Original
136,50,1,2.606,30.128,0.083,Original
137,50,1,2.405,29.874000000000002,0.077,Original
138,50,1,2.355,29.568,0.06999999999999999,Original
139,50,1,3.143,34.381,0.081,Original
140,50,1,2.34,29.713,0.075,Original
141,50,1,2.3600000000000003,31.796,0.06899999999999999,Original
142,50,1,2.664,62.069,0.111,Original
143,50,1,4.772,122.246,0.122,Original
144,50,1,4.286,43.886,0.08,Original
145,50,1,2.562,38.138999999999996,0.08399999999999999,Original
146,50,1,2.6159999999999997,33.596000000000004,0.111,Original
147,50,1,4.388000000000001,43.708,0.082,Original
148,50,1,2.796,31.086,0.073,Original
149,50,1,2.52,30.962,0.075,Original
150,50,1,2.612,29.610999999999997,0.075,Original
151,50,1,2.341,32.599999999999994,0.074,Original
152,50,1,2.342,31.134999999999998,0.077,Original
153,50,1,2.375,30.112,0.074,Original
154,50,1,2.412,32.715,0.075,Original
155,50,1,2.595,37.375,0.076,Original
156,50,1,2.6220000000000003,31.922,0.085,Original
157,50,1,4.5440000000000005,31.003,0.078,Original
158,50,1,2.371,31.739000000000004,0.077,Original
159,50,1,2.359,30.836,0.14100000000000001,Original
160,50,1,2.1510000000000002,29.573999999999998,0.077,Original
161,50,1,2.3579999999999997,33.038,0.07100000000000001,Original
162,50,1,2.282,32.108,0.076,Original
163,50,1,2.392,35.193000000000005,0.076,Original
164,50,1,2.367,31.006,0.079,Original
165,50,1,2.4130000000000003,34.452000000000005,0.134,Original
166,50,1,3.0260000000000002,55.497,0.11900000000000001,Original
167,50,1,4.853,43.73500000000001,0.11299999999999999,Original
168,50,1,2.7439999999999998,37.886,0.079,Original
169,50,1,2.538,33.22,0.111,Original
170,50,1,4.289000000000001,29.436,0.079,Original
171,50,1,2.388,41.562000000000005,0.077,Original
172,50,1,2.555,34.236999999999995,0.076,Original
173,50,1,2.392,31.509000000000004,0.10900000000000001,Original
174,50,1,4.1209999999999996,28.781000000000002,0.06499999999999999,Original
175,50,1,2.079,29.568,0.06499999999999999,Original
176,50,1,2.039,25.32,0.063,Original
